CMDLINE python3 main.py
MEM 25402.921875 1707719584.2316
MEM 25402.921875 1707719584.3320
MEM 25402.921875 1707719584.4323
MEM 25402.921875 1707719584.5327
MEM 25402.921875 1707719584.6329
MEM 25402.921875 1707719584.7332
MEM 25402.269531 1707719584.8336
MEM 25402.269531 1707719584.9340
MEM 25402.269531 1707719585.0343
MEM 25402.261719 1707719585.1347
MEM 25402.261719 1707719585.2351
MEM 25402.261719 1707719585.3354
MEM 25402.761719 1707719585.4358
MEM 25402.761719 1707719585.5362
MEM 25402.761719 1707719585.6365
MEM 25402.761719 1707719585.7369
MEM 25402.761719 1707719585.8372
MEM 25402.761719 1707719585.9376
MEM 25402.761719 1707719586.0379
MEM 25402.761719 1707719586.1384
MEM 25403.136719 1707719586.2388
MEM 25403.136719 1707719586.3391
MEM 25403.136719 1707719586.4395
MEM 25403.136719 1707719586.5398
MEM 25403.136719 1707719586.6402
MEM 25403.136719 1707719586.7406
MEM 25403.136719 1707719586.8409
MEM 25403.136719 1707719586.9413
MEM 25403.136719 1707719587.0417
MEM 25403.136719 1707719587.1419
MEM 25403.136719 1707719587.2423
MEM 25403.136719 1707719587.3427
MEM 25402.246094 1707719587.4430
MEM 25402.246094 1707719587.5433
MEM 25402.246094 1707719587.6437
MEM 25402.902344 1707719587.7441
MEM 25402.902344 1707719587.8444
MEM 25402.902344 1707719587.9448
MEM 25403.152344 1707719588.0452
MEM 25403.152344 1707719588.1456
MEM 25403.152344 1707719588.2460
MEM 25403.152344 1707719588.3463
MEM 25403.152344 1707719588.4466
MEM 25403.152344 1707719588.5470
MEM 25403.152344 1707719588.6473
MEM 25403.152344 1707719588.7477
MEM 25403.152344 1707719588.8480
MEM 25403.152344 1707719588.9484
MEM 25403.152344 1707719589.0487
MEM 25405.093750 1707719589.1489
MEM 25405.093750 1707719589.2493
MEM 25405.093750 1707719589.3497
MEM 25405.093750 1707719589.4499
MEM 25405.093750 1707719589.5503
MEM 25405.093750 1707719589.6507
MEM 25405.093750 1707719589.7510
MEM 25405.093750 1707719589.8513
MEM 25405.093750 1707719589.9516
MEM 25279.332031 1707719590.0519
MEM 20983.378906 1707719590.1522
MEM 16743.441406 1707719590.2524
MEM 12047.562500 1707719590.3526
MEM 7729.562500 1707719590.4528
MEM 3523.652344 1707719590.5531
MEM 84.027344 1707719590.6534
